Code,Name,AddressLineOne,InvoiceDate,SerialNo,Total,Age,Balance
CD0130_NSF,Pamunugama Pharmacy,"32  , Bopitiya",7/2/2023 0:00,30005DSI000012,104820.01,214,4306.01
COLD22008_NSF,Sameera N Kumbukage Dr.,"MEDICAL OFFICER,DISTRICT GENERAL HOSPITAL,NEGOMBO.",7/2/2023 0:00,30005DSI000015,22826,214,22826
CD0194_NSF,Unique Pharmacy,"103 Colombo Road,, Negombo",7/2/2023 0:00,30005DSI000035,30204.9,214,12574.9
CD0437_JLM,Amman Medicals,"297, Negombo Road, Peliyagoda.",8/2/2023 0:00,30005DSI000057,4403,213,4403
CD0450_NSF,Royal Pharmacy,"321B, Chilaw Road, Periyamulla, Negombo.",10/2/2023 0:00,30005DSI000164,23478.12,211,23478.12
CD0480_NSF,Thilana Pharmacy,"No. 50, Minuwangoda Road, Ekala, Ja-Ela.",13/02/2023 00:00,30005DSI000208,1852.14,208,1852.14
CD0286_NSF,Jayakodi Super Market,"No.75,Jayantha Rd,Negombo.",13/02/2023 00:00,30005DSI000229,13241.64,208,13241.64
CD0084_NSF,Leo Pharmacy,Negombo,13/02/2023 00:00,30005DSI000231,32403.04,208,32403.04
CD0441_NSF,Isura Pharmacy,"No. 621 C, Tewatta Road, Ragama.",15/02/2023 00:00,30005DSI000288,71572.15,206,59354.28
COLD14793_JLM,Peoples Pharmacy-Magabage,"NO.503,NEGOMBO ROAD,MAHABAGE.",15/02/2023 00:00,30005DSI000310,3654.82,206,3654.82
CD0549_JLM,Lakshan Chemist,"No. 6911, Negombo Road, Mabole, Wattala.",15/02/2023 00:00,30005DSI000319,13786.29,206,13471.79
CD0185_JLM,Suwasala Pharmacy,Wattala,15/02/2023 00:00,30005DSI000323,13113.48,206,13113.48
CD0044_JLM,Gimshani Pharmacy,Kandana,15/02/2023 00:00,30005DSI000327,12327.89,206,12327.89
COLD13777_JLM,Royal Pharmacy - Kanda,"NO.04,PUBLIC MARKET,KANDANA.",16/02/2023 00:00,2702DSI000348,1861.56,205,1861.56
CD0145_JLM,Reliable Pharmacy,"505 Negombo Road,, Ragama",16/02/2023 00:00,2702DSI000363,5181.9,205,5181.9
COLD15266_NSF,Roshini Perera Dr.,"NO.229,OLD NEGOMBO ROAD,KANUWANA,JA-ELA.",16/02/2023 00:00,7135DSI000378,223693.45,205,223693.45
CD0240_NSF,Hiru Pharmacy,"Daman Handiya,",16/02/2023 00:00,7135DSI000379,150073.01,205,150073.01
CD0084_NSF,Leo Pharmacy,Negombo,16/02/2023 00:00,DSR30DSI000385,1956.51,205,1956.51
COLD14487_JLM,Mithsara Pharmacy,"NO.110A,STATION ROAD,KANDANA.",17/02/2023 00:00,2702DSI000393,2152.53,204,2152.53
CD0408_NSF,International Institute of Health of Science,"No.704,Negombo Road,Walisara.",17/02/2023 00:00,7135DSI000411,36510.06,204,36510.06
CD0408_NSF,International Institute of Health of Science,"No.704,Negombo Road,Walisara.",17/02/2023 00:00,DSR30DSI000414,11879.23,204,11879.23
CD0408_JLM,International Institute of Health of Science,"No.704,Negombo Road,Walisara.",17/02/2023 00:00,2702DSI000415,11952.46,204,11952.46
CD0547_NSF,New St. Joseph Pharmacy,"No. 951, Amandoluwa, Seeduwa.",17/02/2023 00:00,DSR30DSI000418,118876.18,204,118876.18
CD0441_NSF,Isura Pharmacy,"No. 621 C, Tewatta Road, Ragama.",17/02/2023 00:00,DSR30DSI000429,98397.57,204,98397.57
MORICASH014_JLM5,Cash Customer-ACS Negombo,NEGOMBO.,17/02/2023 00:00,2702DSI000468,4890.51,204,4890.51
